"","Buyout.Agreement.Date","Buyout.Amount","Address","Analysis.Neighborhood","point"
"279","",NA,"203 Juanita Way","West of Twin Peaks","POINT (-122.4550132854391 37.74161521180936)"
"280","",NA,"631 Paris Street","Excelsior","POINT (-122.43715139448834 37.71877296888416)"
"281","",NA,"357 Ulloa Street","West of Twin Peaks","POINT (-122.45766182615822 37.74171132044739)"
"282","02/08/2017",65000,"2288 sutter Street","Pacific Heights","POINT (-122.4379674471446 37.785523529899464)"
"283","",NA,"996 Carolina Street","Potrero Hill","POINT (-122.39991330081959 37.75601260335464)"
"284","",NA,"2023 32nd Avenue","Sunset/Parkside","POINT (-122.49015334584607 37.74943064076515)"
"286","05/25/2018",40000,"72 Mirabel Avenue","Bernal Heights","POINT (-122.41593003577522 37.74662143815583)"
"287","01/30/2019",8000,"3110 Clay Street","Pacific Heights","POINT (-122.44439451551567 37.78945606103355)"
"288","",NA,"1157 Broadway Street","Nob Hill","POINT (-122.41612561312165 37.796665476562666)"
"289","",NA,"2316 28th Avenue","Sunset/Parkside","POINT (-122.48541986130918 37.744133856565476)"
"290","",NA,"3909 Lincoln Way","Sunset/Parkside","POINT (-122.49994281865582 37.76438767014619)"
"291","",NA,"925 Capp Street","Mission","POINT (-122.41729416900417 37.75187515512148)"
"292","",NA,"1492  Larkin Street","Nob Hill","POINT (-122.41917415191944 37.79157910258472)"
"293","",NA,"5609 California Street","Outer Richmond","POINT (-122.47770277395163 37.78419218462341)"
"294","",NA,"2460 Larkin Street","Russian Hill","POINT (-122.42096891809825 37.80046173085089)"
"295","01/05/2018",50000,"2790 23rd Street","Mission","POINT (-122.40813407337949 37.754498193061586)"
"296","07/13/2018",74849.24,"1849 Mcallister Street","Lone Mountain/USF","POINT (-122.44249298023807 37.777248959467435)"
"297","",NA,"2008 Lombard Street","Marina","POINT (-122.43464380121587 37.80011895135377)"
"298","",NA,"61 Henry Street","Castro/Upper Market","POINT (-122.43245731388916 37.76669358756321)"
"299","03/18/2019",56500,"3171 Cesar Chavez Street","Bernal Heights","POINT (-122.41301389551198 37.74819072160495)"
"300","",NA,"1051 post Street","Tenderloin","POINT (-122.41912192141453 37.78690913661444)"
"301","06/07/2021",18000,"72 Macondray Lane","Russian Hill","POINT (-122.4151907859137 37.79924755012715)"
"302","",NA,"3223 Folsom Street","Bernal Heights","POINT (-122.41348620543802 37.7465117632108)"
"303","",NA,"400 Prentiss Street","Bernal Heights","POINT (-122.41218060184839 37.73816150483483)"
"304","",NA,"2030 Greenwich Street","Marina","POINT (-122.43314599350664 37.79933184246154)"
"305","",NA,"2858 Cesar Chavez Street","Mission","POINT (-122.40669711491346 37.748865452842715)"
"306","05/25/2018",10085.48,"737 Green Street","Chinatown","POINT (-122.41123121405428 37.79920794190993)"
"307","",NA,"550 Filbert Street","North Beach","POINT (-122.40845837092046 37.8015185947276)"
"308","",NA,"1450 Broadway Street","Russian Hill","POINT (-122.42097729190432 37.79611128939251)"
"309","01/28/2022",150000,"121 16th Avenue","Outer Richmond","POINT (-122.4755201547191 37.78575162835476)"
"310","",NA,"1499 Shotwell Street","Bernal Heights","POINT (-122.41490864129833 37.7451419079112)"
"311","11/29/2017",50000,"4505 18th Street","Castro/Upper Market","POINT (-122.4395294159642 37.760593430962196)"
"312","12/01/2020",25410,"1632 Broderick Street","Pacific Heights","POINT (-122.44158479244427 37.7853802806224)"
"313","",NA,"1019 Guerrero Street","Mission","POINT (-122.42304998322392 37.75447203082118)"
"314","",NA,"680 broadway Street","Chinatown","POINT (-122.40827183916213 37.79770362590812)"
"315","",NA,"2053 Sutter Street","Japantown","POINT (-122.43414598245133 37.785953541594964)"
"316","05/25/2016",60000,"723 Banks Street","Bernal Heights","POINT (-122.41306961012603 37.73448342617061)"
"317","",NA,"3660 20th Street","Mission","POINT (-122.42261935104987 37.75844992950449)"
"318","",NA,"470 Frederick Street","Haight Ashbury","POINT (-122.45208516884591 37.766521628244185)"
"319","",NA,"350 San Jose Avenue","Mission","POINT (-122.42139660041937 37.74953202210997)"
"320","04/11/2017",35000,"42 Lower Terrace","Castro/Upper Market","POINT (-122.44172685334567 37.762874492086574)"
"321","",NA,"2441 20th Avenue","Sunset/Parkside","POINT (-122.47675568996277 37.74222851995336)"
"322","",NA,"535 Clayton Street","Haight Ashbury","POINT (-122.44874362744399 37.77038059411076)"
"323","",NA,"1900 Jefferson Street","Marina","POINT (-122.4439227109458 37.804655237896654)"
"324","",NA,"271 Flournoy Street","Outer Mission","POINT (-122.46283283516642 37.70927433305331)"
"325","07/19/2021",50000,"196 Jules Avenue","Oceanview/Merced/Ingleside","POINT (-122.46122087355207 37.72171286020091)"
"326","02/19/2021",NA,"2731 Clement Street","Outer Richmond","POINT (-122.48846836242325 37.781835276928845)"
"327","",NA,"358 02nd Avenue","Inner Richmond","POINT (-122.46003619592507 37.7820213756834)"
"328","",NA,"1433 Jackson Street","Russian Hill","POINT (-122.41869451622101 37.794470832422725)"
"329","",NA,"326 Connecticut Street","Potrero Hill","POINT (-122.39750539919721 37.762142593726914)"
"330","",NA,"50 Tiffany Avenue","Bernal Heights","POINT (-122.4208240465037 37.74585305108403)"
"331","09/08/2020",6000,"1100 Leavenworth Street","Nob Hill","POINT (-122.41574764024128 37.79130448737151)"
"332","",NA,"607 Central Avenue","Lone Mountain/USF","POINT (-122.44466685446558 37.775221821513476)"
"333","",NA,"1280 Brussels Street","Visitacion Valley","POINT (-122.40126388918576 37.71658774662787)"
"334","",NA,"1355 46th Avenue","Sunset/Parkside","POINT (-122.50603477721437 37.76127239461784)"
"335","",NA,"150 Allison Street","Excelsior","POINT (-122.44190176769585 37.71300814128863)"
"336","",NA,"51 Cervantes Boulevard","Marina","POINT (-122.43810175796072 37.803424058405)"
"337","",NA,"641 08th Avenue","Inner Richmond","POINT (-122.46614461323682 37.77636208455816)"
"338","11/02/2017",28443,"1322 29th Avenue","Sunset/Parkside","POINT (-122.48778515419419 37.76262881982624)"
"339","02/11/2022",29200,"431 head Street","Oceanview/Merced/Ingleside","POINT (-122.46445441375396 37.71489448100928)"
"340","11/01/2017",20000,"857 Cole Street","Haight Ashbury","POINT (-122.45008789617765 37.76621156685019)"
"341","08/17/2015",30000,"958 Somerset Street","Portola","POINT (-122.40478873129615 37.719868401036344)"
"342","",NA,"667 Castro Street","Castro/Upper Market","POINT (-122.43473086013584 37.75824804399359)"
"343","05/24/2022",75000,"276 Nevada Street","Bernal Heights","POINT (-122.41151216615351 37.73863001549464)"
"344","12/05/2017",46000,"1326 Utah Street","Mission","POINT (-122.40534144438017 37.75268577362076)"
"345","",NA,"8 Southern Heights Avenue","Potrero Hill","POINT (-122.40002854186046 37.7576507326694)"
"346","",NA,"1216 Fulton Street","Western Addition","POINT (-122.43687394625378 37.777055480014546)"
"347","",NA,"23 Liebig Street","Outer Mission","POINT (-122.45604972360461 37.70839736402898)"
"348","09/28/2015",20354,"1350 24th Avenue","Sunset/Parkside","POINT (-122.48239533872906 37.76238439639815)"
"349","",NA,"1325 Stevenson Street","Mission","POINT (-122.42168209441736 37.77118075665848)"
"350","03/14/2016",8000,"1165 Francisco Street","Russian Hill","POINT (-122.42432203608362 37.8032599483594)"
"351","",NA,"138 Wilson Street","Outer Mission","POINT (-122.46008705793548 37.70839554133723)"
"352","08/02/2021",13500,"1788 Clay Street","Russian Hill","POINT (-122.4224560587444 37.79223890999189)"
"353","07/29/2015",30000,"956 Ashbury Street","Haight Ashbury","POINT (-122.4458524758844 37.764766318823625)"
"355","03/23/2020",50000,"350 Dolores Street","Castro/Upper Market","POINT (-122.42643171591382 37.763769472293156)"
"356","",NA,"439 Vermont Street","Potrero Hill","POINT (-122.40442570505863 37.7641538644387)"
"357","",NA,"1917 Judah Street","Sunset/Parkside","POINT (-122.48261461238945 37.76143131523494)"
"358","",NA,"2628 Post Street","Presidio Heights","POINT (-122.44510685418476 37.78366132299438)"
"359","",NA,"2199 California Street","Pacific Heights","POINT (-122.43044672293173 37.789317006220244)"
"360","03/21/2022",40000,"701 Mangels Avenue","West of Twin Peaks","POINT (-122.45354663473937 37.73300666944575)"
"361","",NA,"1969 San Jose Avenue","Outer Mission","POINT (-122.44254576205584 37.72557678825886)"
"362","",NA,"1366 San Bruno Avenue","Mission","POINT (-122.4043315506419 37.7522958209393)"
"364","10/09/2018",10000,"790 46th Avenue","Outer Richmond","POINT (-122.50681709233315 37.77364122416771)"
"365","",NA,"1347 hayes Street","Hayes Valley","POINT (-122.43859608826305 37.77486901494498)"
"366","02/18/2022",70000,"533 Page Street","Hayes Valley","POINT (-122.42957196252604 37.77315302681438)"
"367","01/04/2016",25000,"2116 17th Avenue","West of Twin Peaks","POINT (-122.47389954906616 37.74838078351317)"
"368","",NA,"1895 Pacific Avenue","Pacific Heights","POINT (-122.426351831507 37.794397518176204)"
"369","",NA,"1419 Golden Gate Avenue","Western Addition","POINT (-122.43397682439195 37.77928528432448)"
"370","",NA,"685 48th Avenue","Outer Richmond","POINT (-122.50915980654044 37.775462967640316)"
"371","",NA,"1633 North Point Street","Marina","POINT (-122.43410836591814 37.8039380360501)"
"372","10/12/2021",50000,"44 Juanita Way","West of Twin Peaks","POINT (-122.45242521745801 37.74406865495262)"
"373","03/22/2021",24000,"914 Cabrillo Street","Inner Richmond","POINT (-122.46840719350983 37.775195299805226)"
"374","06/29/2015",27422,"409 Vallejo Street","North Beach","POINT (-122.40426189302049 37.799124867198316)"
"375","11/20/2015",29000,"312 Monticello Street","Oceanview/Merced/Ingleside","POINT (-122.47073542355896 37.71996329048088)"
"376","04/01/2022",71958,"1334 Natoma Street","Mission","POINT (-122.41854731709621 37.767779960083125)"
"377","",NA,"2933 Anza Street","Outer Richmond","POINT (-122.47964067833024 37.77836869314156)"
"378","",NA,"45 Southern Heights Avenue","Potrero Hill","POINT (-122.40037680923163 37.757830292559916)"
"379","08/11/2016",29451,"2720 36th Avenue","Sunset/Parkside","POINT (-122.49348839288172 37.73628152073199)"
"380","",NA,"1049 Market Street","South of Market","POINT (-122.41133479730053 37.78132916046372)"
"381","09/19/2019",75000,"140 Noe Street","Castro/Upper Market","POINT (-122.43339752042957 37.7668580858109)"
"382","05/09/2022",54000,"1526 Irving Street","Inner Sunset","POINT (-122.47426582595513 37.763720021325526)"
"383","",NA,"30 Faxon Avenue","Oceanview/Merced/Ingleside","POINT (-122.46020490956481 37.71688376294649)"
"384","10/12/2016",22000,"2908 Folsom Street","Mission","POINT (-122.41395296686485 37.7506997872759)"
"385","",NA,"1973 Oak Street","Haight Ashbury","POINT (-122.45176532290232 37.771291372687564)"
"386","08/06/2020",14450,"856 Shotwell Street","Mission","POINT (-122.41543415715186 37.75473522577412)"
"387","",NA,"24 Day Street","Noe Valley","POINT (-122.42341002192549 37.7431238982687)"
"388","",NA,"1401 Jones Street","Nob Hill","POINT (-122.41471250763772 37.79419941940005)"
"389","01/29/2019",NA,"1852 Fell Street","Lone Mountain/USF","POINT (-122.44838239606389 37.77271071855269)"
"390","12/01/2020",80000,"451 Guerrero Street","Mission","POINT (-122.42395282536131 37.76388296174028)"
"391","",NA,"970 Chestnut Street","Russian Hill","POINT (-122.41939883858676 37.803011306910726)"
"392","",NA,"1415 Oakdale Avenue","Bayview Hunters Point","POINT (-122.38698372345769 37.73263957857965)"
"393","",NA,"1008 Larkin Street","Nob Hill","POINT (-122.41828178318075 37.78719651308431)"
"394","",NA,"2922 25th Street","Mission","POINT (-122.40855883780519 37.75125857175381)"
"395","11/30/2021",22500,"4274 23rd Street","Noe Valley","POINT (-122.43807646338178 37.752694752701764)"
"396","",NA,"2929 Jennings Street","Bayview Hunters Point","POINT (-122.3933472416236 37.72181359630893)"
"397","08/02/2019",30000,"18 Elgin Park","Mission","POINT (-122.42332038202932 37.77115196008038)"
"398","",NA,"991 Greenwich Street","Russian Hill","POINT (-122.415927799989 37.8014860888417)"
"399","",NA,"1559 09th Avenue","Inner Sunset","POINT (-122.46602157909935 37.75922658875647)"
"400","",NA,"422 Monterey Boulevard","West of Twin Peaks","POINT (-122.4448930326146 37.73163526552833)"
"401","",NA,"162 Tiffany Avenue","Bernal Heights","POINT (-122.42169019673281 37.74450895395888)"
"402","05/21/2019",49418,"47 Stoneyford Avenue","Excelsior","POINT (-122.42098438641521 37.73033827521205)"
"403","10/19/2020",52369,"3964 18th Street","Castro/Upper Market","POINT (-122.43200448133761 37.76110185260882)"
"404","",NA,"1419 Silver Avenue","Portola","POINT (-122.40839680014243 37.73162355688539)"
"405","",NA,"1560 Fulton Street","Lone Mountain/USF","POINT (-122.4424883768666 37.7763419109292)"
"406","",NA,"650 Monterey Boulevard","West of Twin Peaks","POINT (-122.45004142698279 37.7316127341803)"
"407","",NA,"1931 Stockton Street","North Beach","POINT (-122.40987209840036 37.803616109888345)"
"408","08/04/2017",42000,"3330 19th Street","Mission","POINT (-122.41765437638183 37.760361917927334)"
"409","",NA,"2485 46th Avenue","Sunset/Parkside","POINT (-122.50456013653567 37.74023971201142)"
"410","11/21/2016",50000,"390 Liberty Street","Castro/Upper Market","POINT (-122.42987366486933 37.757250895575055)"
"411","",NA,"1025 Powell Street","Nob Hill","POINT (-122.40964135995563 37.79411464429046)"
"412","03/14/2019",10000,"355 Fulton Street","Hayes Valley","POINT (-122.42261196377262 37.778821143152804)"
"413","05/31/2022",36000,"2359 20th Avenue","Sunset/Parkside","POINT (-122.47686643434078 37.74378455354125)"
"414","04/06/2020",57200,"513 Lyon Street","Lone Mountain/USF","POINT (-122.44302869512957 37.77547733948384)"
"415","08/24/2018",87000,"1895 Lombard Street","Marina","POINT (-122.43260736478773 37.80019523600981)"
"416","05/11/2021",15000,"2387 Bay Street","Marina","POINT (-122.44625291733391 37.80143229845616)"
"417","09/12/2019",70000,"901 Broderick Street","Western Addition","POINT (-122.44027780494915 37.77860122560698)"
"418","",NA,"1240 HAWES Street","Bayview Hunters Point","POINT (-122.38184652990414 37.72842940047071)"
"419","03/25/2021",70000,"820 Visitacion Avenue","Visitacion Valley","POINT (-122.40726489720083 37.71129094626603)"
"421","04/03/2019",2619.56,"44 Peralta Avenue","Bernal Heights","POINT (-122.40581620748064 37.74802493316632)"
"422","",NA,"1750 Mission Street","Mission","POINT (-122.42015420363391 37.769114495624684)"
"423","",NA,"31 Cortland Avenue","Bernal Heights","POINT (-122.42230329619719 37.740838955865534)"
"424","",NA,"1837 09th Avenue","Inner Sunset","POINT (-122.46566029171699 37.75400625801498)"
"425","11/04/2020",42130,"727 Madrid Street","Excelsior","POINT (-122.43547965571196 37.7180500988087)"
"426","12/04/2019",60000,"43 Brant Alley","North Beach","POINT (-122.4102866674967 37.801850287614876)"
"427","",NA,"780 Capp Street","Mission","POINT (-122.41758661681078 37.75425574888082)"
"428","",NA,"1378 Natoma Street","Mission","POINT (-122.41848625850155 37.767142162093016)"
"429","",NA,"5519 Mission Street","Excelsior","POINT (-122.44494525428702 37.7124085158612)"
"430","03/23/2022",108000,"384 Waller Street","Hayes Valley","POINT (-122.429964109273 37.7712454596601)"
"431","",NA,"69 Jersey Street","Noe Valley","POINT (-122.42670363161398 37.75091374117718)"
"432","",NA,"1062 Fulton Street","Western Addition","POINT (-122.43424835765657 37.777393122921794)"
"433","",NA,"1249 Filbert Street","Russian Hill","POINT (-122.42005471153685 37.8000088514972)"
"434","06/07/2022",50000,"234 Sussex Street","Glen Park","POINT (-122.43707302828459 37.73651598613992)"
"436","",NA,"81 Woodward Street","Mission","POINT (-122.42079108044601 37.76860021993041)"
"437","",NA,"1555 Chestnut Street","Marina","POINT (-122.42892478064753 37.80172745840075)"
"438","",NA,"105 Fillmore Street","Hayes Valley","POINT (-122.43017927551043 37.770536137690016)"
"439","",NA,"633 Oak Street","Hayes Valley","POINT (-122.42976266490139 37.7740865287349)"
"440","",NA,"159 Varennes Street","North Beach","POINT (-122.40695503314187 37.80127582809699)"
"441","",NA,"1909 Stockton Street","North Beach","POINT (-122.40982949278431 37.80340365322561)"
"442","",NA,"590 Chestnut Street","North Beach","POINT (-122.41306325213424 37.80381488087394)"
"444","",NA,"2837 Octavia Street","Marina","POINT (-122.42903475700908 37.798292088782574)"
"445","",NA,"121 Ellert Street","Bernal Heights","POINT (-122.41755760073724 37.73842157969606)"
"446","",NA,"810 Lyon Street","Lone Mountain/USF","POINT (-122.44352046705467 37.778266067657256)"
"447","03/18/2019",24000,"1042 Divisadero Street","Western Addition","POINT (-122.43856290562995 37.77915246557517)"
"448","10/13/2020",105427.18,"1118 Shotwell Street","Mission","POINT (-122.41502792950321 37.750489320497664)"
"449","",NA,"445 Sunrise Way","Visitacion Valley","POINT (-122.41664789298703 37.709858163536616)"
"450","",NA,"2422 16th Avenue","West of Twin Peaks","POINT (-122.47242662578898 37.74273023654649)"
"451","",NA,"2195 43rd Avenue","Sunset/Parkside","POINT (-122.50172754083108 37.745807149349844)"
"452","",NA,"160 Tiffany Avenue","Bernal Heights","POINT (-122.4216747300392 37.74453295575176)"
"453","11/04/2019",23114,"1315 Jackson Street","Russian Hill","POINT (-122.41677850468088 37.794717396931155)"
