"","Address","File.Date","Neighborhoods...Analysis.Boundaries","Location"
"322","500 Block Of Capp  Street","12/18/2015","Mission","(37.757899602868584, -122.4178883027015)"
"323","0 Block Of Parker  Avenue","04/21/2017","Presidio Heights","(37.78513690437489, -122.45469612710576)"
"324","2700 Block Of Sutter  Street","05/29/2019","Presidio Heights","(37.78452766489273, -122.44553928254415)"
"325","500 Block Of Fell  Street","02/23/2012","Hayes Valley","(37.7754209300197, -122.42689718821183)"
"326","700 Block Of Stockton  Street","11/20/2014","Chinatown","(37.79249013754507, -122.40756810596636)"
"327","100 Block Of Allison  Street","01/13/2017","Excelsior","(37.713023310870696, -122.44186124325121)"
"328","300 Block Of 24th  Avenue","04/01/2015","Outer Richmond","(37.783003752733606, -122.48386993964085)"
"329","500 Block Of Arguello  Boulevard","03/05/2019","Lone Mountain/USF","(37.78029510957782, -122.4587951398933)"
"330","800 Block Of Brannan  Street","05/11/2021","South of Market","(37.77195990788575, -122.40458539525484)"
"331","0 Block Of Pueblo  Street","07/26/2019","Visitacion Valley","(37.708779952853725, -122.41701054906845)"
"332","2700 Block Of San Bruno  Avenue","01/29/2021","Portola","(37.72703379157112, -122.40334759797176)"
"333","600 Block Of Ofarrell  Street","07/24/2015","Tenderloin","(37.78555715333075, -122.41481861683604)"
"334","600 Block Of Ofarrell  Street","10/16/2020","Tenderloin","(37.785412800358365, -122.41596679869437)"
"335","1200 Block Of Fulton  Street","08/28/2014","Western Addition","(37.776961987696126, -122.43734214002528)"
"336","800 Block Of Greenwich  Street","07/25/2017","Russian Hill","(37.80184214792959, -122.41325989653753)"
"337","800 Block Of Franklin  Street","05/06/2013","Western Addition","(37.78198600911831, -122.42232233778765)"
"338","1300 Block Of Grove  Street","10/10/2014","Hayes Valley","(37.775819500809085, -122.43882317605612)"
"339","600 Block Of France  Avenue","04/01/2019","Excelsior","(37.71755206441352, -122.43315462829229)"
"341","1000 Block Of Montgomery  Street","02/11/2019","North Beach","(37.798697593549065, -122.40395807555025)"
"342","1100 Block Of Scott  Street","07/07/2022","Western Addition","(37.780334582680176, -122.43716595990534)"
"343","900 Block Of Silliman  Street","07/30/2018","Portola","(37.72878636190952, -122.41446333950107)"
"344","1200 Block Of Mcallister  Street","05/01/2019","Western Addition","(37.778527259162246, -122.43258527975198)"
"345","2200 Block Of Mission  Street","08/04/2014","Mission","(37.761035605783206, -122.41928265537494)"
"346","200 Block Of Olive  Street","08/04/2021","Western Addition","(37.784183485692246, -122.42195823523036)"
"347","700 Block Of 20th  Avenue","06/16/2017","Outer Richmond","(37.77374783406755, -122.47890432312936)"
"348","800 Block Of Jones  Street","06/27/2012","Nob Hill","(37.789063760832924, -122.4136349159811)"
"349","1500 Block Of Mason  Street","12/29/2021","Nob Hill","(37.79764871550735, -122.41199201288049)"
"350","2400 Block Of 24th  Street","12/10/2012","Mission","(37.7531498912992, -122.40388439361622)"
"351","400 Block Of 20th  Avenue","07/06/2015","Outer Richmond","(37.77937151058013, -122.47931187956954)"
"352","400 Block Of Lyon  Street","06/05/2012","Lone Mountain/USF",""
"353","600 Block Of 33rd  Avenue","08/28/2015","Outer Richmond","(37.77684226963445, -122.49310600627639)"
"354","3000 Block Of Baker  Street","01/10/2014","Marina","(37.79909105835956, -122.44606748652687)"
"355","1200 Block Of Thomas  Avenue","07/28/2014","Bayview Hunters Point","(37.72670200759587, -122.38474627983045)"
"356","1000 Block Of Post  Street","10/29/2012","Tenderloin","(37.786932739257615, -122.41909946660869)"
"357","2400 Block Of 35th  Avenue","01/22/2013","Sunset/Parkside","(37.74136151650249, -122.49277150949436)"
"358","700 Block Of Gonzalez  Drive","02/05/2016","Lakeshore",""
"359","700 Block Of Lombard  Street","08/09/2022","North Beach","(37.80279137843829, -122.41332852650648)"
"360","300 Block Of South Van Ness  Avenue","05/29/2019","Mission","(37.767605256966775, -122.41772380402155)"
"361","100 Block Of Font  Boulevard","09/14/2018","Lakeshore","(37.71550144751338, -122.47367196490889)"
"362","0 Block Of Guerrero  Street","03/14/2019","Mission","(37.770306236471136, -122.42458823805019)"
"363","800 Block Of Capp  Street","05/09/2014","Mission","(37.75310401634676, -122.417431859216)"
"364","200 Block Of Vienna  Street","01/22/2016","Excelsior","(37.724371075388994, -122.42749286629923)"
"365","700 Block Of Ellis  Street","02/16/2016","Tenderloin","(37.78413242943735, -122.41853546025469)"
"366","1300 Block Of Market  Street","08/06/2015","Tenderloin","(37.777044489388786, -122.41693056537846)"
"367","0 Block Of Belcher  Street","07/12/2013","Castro/Upper Market","(37.76852719077078, -122.43016440756234)"
"368","300 Block Of 05th  Avenue","09/30/2014","Inner Richmond","(37.78202968390717, -122.46328060014038)"
"369","100 Block Of Bernard  Street","02/09/2015","Nob Hill","(37.79621321233911, -122.41591786320542)"
"370","800 Block Of Green  Street","11/17/2014","Nob Hill","(37.79899167775381, -122.41310702061587)"
"371","700 Block Of Jones  Street","07/11/2012","Nob Hill","(37.78781084005593, -122.41338344404372)"
"372","2300 Block Of Union  Street","05/26/2021","Marina","(37.796774894555895, -122.43795855316192)"
"373","200 Block Of Harvard  Street","02/25/2013","Excelsior","(37.72651154935381, -122.42061930785013)"
"374","1200 Block Of Hampshire  Street","02/14/2013","Mission","(37.752108423087755, -122.40721509568765)"
"375","200 Block Of Los Palmos  Drive","05/07/2013","West of Twin Peaks","(37.73587433506412, -122.44943423327032)"
"376","1900 Block Of Broadway  Street","12/21/2017","Pacific Heights","(37.79500027609029, -122.42916688257607)"
"377","2900 Block Of Webster  Street","05/25/2012","Marina","(37.797764048546384, -122.43394121733927)"
"378","500 Block Of Cole  Street","02/05/2015","Haight Ashbury","(37.77005413149125, -122.45031223861521)"
"379","300 Block Of 29th  Avenue","06/26/2017","Outer Richmond","(37.78275681248976, -122.48922337571452)"
"380","500 Block Of John Muir  Drive","05/09/2013","Lakeshore","(37.714363024599734, -122.49198854568047)"
"381","2300 Block Of Pacific  Avenue","07/14/2015","Pacific Heights","(37.793452421933594, -122.43391104212193)"
"382","100 Block Of Excelsior  Avenue","07/18/2019","Excelsior","(37.72567949769594, -122.43245544250625)"
"383","1600 Block Of Mcallister  Street","08/14/2013","Western Addition","(37.777690480929124, -122.43919621212981)"
"384","0 Block Of Cordova  Street","09/17/2019","Excelsior","(37.71283655585524, -122.43608914949915)"
"385","300 Block Of Eddy  Street","09/26/2016","Tenderloin","(37.783784279295574, -122.41376459126121)"
"386","1300 Block Of Page  Street","12/12/2013","Haight Ashbury","(37.77146457776444, -122.44301201482678)"
"387","2600 Block Of 24th  Avenue","09/08/2015","Sunset/Parkside","(37.73815390635063, -122.48072081884625)"
"388","400 Block Of Hyde  Street","08/18/2016","Tenderloin","(37.784912407198775, -122.41616572005142)"
"390","400 Block Of Buchanan  Street","11/24/2015","Hayes Valley","(37.77368848300476, -122.42740463520894)"
"391","0 Block Of Francis  Street","08/04/2020","Outer Mission","(37.727076549981376, -122.43437915085497)"
"392","1300 Block Of Market  Street","03/11/2016","Tenderloin","(37.777044489388786, -122.41693056537846)"
"393","1100 Block Of Pine  Street","12/27/2019","Nob Hill","(37.79043892798634, -122.41410621612667)"
"394","100 Block Of Shrader  Street","08/05/2013","Lone Mountain/USF","(37.77357341251257, -122.45271833069624)"
"395","1000 Block Of Howard  Street","11/18/2021","South of Market","(37.77952868305713, -122.40742528664694)"
"396","1600 Block Of 48th  Avenue","11/10/2011","Sunset/Parkside","(37.75566754494238, -122.50773927837032)"
"397","3000 Block Of Clay  Street","11/17/2016","Pacific Heights","(37.78956002354444, -122.44329794710171)"
"398","4400 Block Of 17th  Street","01/16/2013","Castro/Upper Market","(37.7619716899714, -122.44377745466745)"
"399","1600 Block Of Burrow  Street","03/11/2022","Portola","(37.7248377702542, -122.41938153020067)"
"400","3600 Block Of Clay  Street","03/26/2015","Presidio Heights","(37.78833290220627, -122.4529477011864)"
"401","200 Block Of Brighton  Avenue","10/14/2014","Oceanview/Merced/Ingleside","(37.72276048853133, -122.45513134331365)"
"402","400 Block Of 28th  Avenue","11/09/2015","Outer Richmond","(37.78091081541708, -122.4880154610451)"
"403","1400 Block Of Franklin  Street","05/02/2018","Western Addition","(37.78757218584889, -122.42345078328682)"
"404","400 Block Of Marina  Boulevard","09/25/2017","Marina","(37.80587437222644, -122.44108624863448)"
"405","1900 Block Of Clay  Street","02/07/2019","Pacific Heights","(37.7918611471962, -122.42516034090525)"
"406","2400 Block Of Folsom  Street","03/12/2015","Mission","(37.758096817260856, -122.4146157497439)"
"407","500 Block Of 15th  Avenue","12/09/2019","Outer Richmond","(37.77772285895069, -122.47376552466699)"
"408","1200 Block Of Grant  Avenue","01/29/2016","North Beach","(37.79832092885032, -122.40711588312455)"
"409","0 Block Of Teddy  Avenue","04/24/2014","Visitacion Valley","(37.713381388167846, -122.40328280558275)"
"410","100 Block Of Columbus  Avenue","12/05/2011","Chinatown","(37.796605578344504, -122.40485027884128)"
"411","1300 Block Of Lombard  Street","01/10/2019","Russian Hill","(37.80145115483889, -122.42372740894734)"
"412","100 Block Of Trenton  Street","07/05/2016","Chinatown","(37.7961593560726, -122.40916348883185)"
"413","300 Block Of Bartlett  Street","06/10/2015","Mission","(37.751372010798804, -122.41947852355283)"
"414","1000 Block Of Geneva  Avenue","07/05/2019","Excelsior","(37.71508194221818, -122.43824519789274)"
"415","1400 Block Of 18th  Avenue","12/19/2012","Inner Sunset","(37.7608132936038, -122.47586032530134)"
"416","600 Block Of Buchanan  Street","05/21/2019","Hayes Valley","(37.775551941614964, -122.42777157402328)"
"417","525500 Block Of York  Street","07/13/2012","Mission","(37.76245167027618, -122.40921828739755)"
"418","300 Block Of 22nd  Avenue","10/02/2013","Outer Richmond","(37.78119312012652, -122.48158780567542)"
"419","300 Block Of Lawton  Street","08/11/2022","Inner Sunset","(37.758421117952956, -122.46645629417975)"
"421","400 Block Of Arballo  Drive","03/22/2019","Lakeshore","(37.71945121529774, -122.48308156626256)"
"422","200 Block Of Powell  Street","01/20/2022","Tenderloin",""
"423","200 Block Of Fremont  Street","08/16/2022","Financial District/South Beach","(37.78828581378092, -122.39396039143082)"
"424","200 Block Of 25th  Avenue","04/03/2015","Outer Richmond","(37.78481412166976, -122.48507943933437)"
"425","1900 Block Of Fulton  Street","11/21/2016","Lone Mountain/USF","(37.775444497189085, -122.44927886259308)"
"426","2300 Block Of Pacific  Avenue","03/24/2017","Pacific Heights","(37.793452421933594, -122.43391104212193)"
"427","1500 Block Of Broadway  Street","04/09/2012","Russian Hill","(37.7958412585868, -122.42259061241772)"
"428","600 Block Of 34th  Avenue","10/19/2011","Outer Richmond","(37.77679375116546, -122.4941717476022)"
"429","1800 Block Of Golden Gate  Avenue","04/16/2018","Western Addition","(37.77840551133577, -122.4410394877936)"
"430","0 Block Of Pico  Avenue","09/22/2017","West of Twin Peaks","(37.72426727079153, -122.46272602177301)"
"431","2300 Block Of Powell  Street","07/16/2015","North Beach","(37.80629150684872, -122.41204575588328)"
"432","200 Block Of Dolores  Street","07/18/2016","Castro/Upper Market","(37.76521095351148, -122.42652263038003)"
"433","1600 Block Of Market  Street","07/02/2020","Mission","(37.77273386842881, -122.42223693112624)"
"435","1600 Block Of Market  Street","07/26/2019","Mission","(37.77273386842881, -122.42223693112624)"
"436","400 Block Of Ofarrell  Street","05/31/2016","Tenderloin","(37.78594458144488, -122.4117365460979)"
"437","400 Block Of Eddy  Street","03/20/2013","Tenderloin",""
"438","0 Block Of Oliver  Street","09/21/2015","Excelsior","(37.708935746270775, -122.45017276326807)"
"439","1500 Block Of 05th  Avenue","10/16/2013","Inner Sunset","(37.75988177551425, -122.46098379169666)"
"440","1400 Block Of Stevenson  Street","06/18/2014","Mission","(37.76876445488326, -122.42141735045044)"
"441","0 Block Of Brosnan  Street","02/28/2013","Mission","(37.768691734875674, -122.42334115999192)"
"442","200 Block Of Summit  Way","03/12/2021","Lakeshore","(37.714897303984145, -122.47631362384081)"
"443","3100 Block Of California  Street","07/09/2012","Presidio Heights","(37.78735001086595, -122.44609748897662)"
"444","300 Block Of Ellis  Street","11/30/2015","Tenderloin","(37.78497042324131, -122.41196096605621)"
"446","5800 Block Of Mission  Street","12/28/2012","Outer Mission","(37.70910954408667, -122.45177419752348)"
"448","400 Block Of 14th  Avenue","03/08/2012","Outer Richmond","(37.77966731367891, -122.47277623480481)"
"449","1100 Block Of Valencia  Street","07/30/2012","Mission","(37.7544989392338, -122.42088811475817)"
"450","700 Block Of 43rd  Avenue","08/17/2012","Outer Richmond","(37.77448789717673, -122.50367661510747)"
"451","700 Block Of Mason  Street","01/23/2015","Nob Hill","(37.79017079192284, -122.41047801011368)"
"452","700 Block Of Natoma  Street","06/17/2019","South of Market","(37.77604898668282, -122.41293806056113)"
"453","0 Block Of Garces  Drive","05/16/2017","Lakeshore","(37.71514042064594, -122.47893444444222)"
"454","0 Block Of Caselli  Avenue","09/20/2013","Castro/Upper Market","(37.759749700762775, -122.44016494359849)"
"455","300 Block Of San Jose  Avenue","07/12/2013","Mission","(37.749406453854114, -122.42133769687408)"
"456","100 Block Of Chattanooga  Street","11/04/2013","Noe Valley","(37.75416091119926, -122.42655593050291)"
"457","300 Block Of Leavenworth  Street","08/10/2018","Tenderloin","(37.784190461349574, -122.41433588630116)"
"458","100 Block Of 28th  Street","03/15/2017","Noe Valley","(37.74536711574724, -122.42568063628198)"
"459","1300 Block Of 11th  Avenue","10/22/2021","Inner Sunset","(37.76301205020558, -122.46838606087141)"
"460","0 Block Of Josepha  Avenue","04/15/2019","Lakeshore","(37.71671261672329, -122.47761144671514)"
"461","1200 Block Of 41st  Avenue","05/31/2012","Sunset/Parkside","(37.763464109666934, -122.50076438074136)"
"462","1900 Block Of 42nd  Avenue","04/18/2016","Sunset/Parkside","(37.750355656432426, -122.50092247515396)"
"463","2000 Block Of Mission  Street","12/10/2015","Mission","(37.764240306430445, -122.41959085459037)"
"464","1200 Block Of Egbert  Avenue","05/29/2015","Bayview Hunters Point","(37.72108105778305, -122.38983127398888)"
"465","300 Block Of Alemany  Boulevard","06/09/2015","Bernal Heights","(37.73402403251938, -122.41233286011852)"
"466","100 Block Of Marston  Avenue","08/18/2014","West of Twin Peaks","(37.72745892293907, -122.44723164012404)"
"467","900 Block Of Jones  Street","02/25/2014","Nob Hill","(37.78999621546612, -122.41382213454112)"
"468","3200 Block Of Clay  Street","06/23/2014","Presidio Heights","(37.78915990301783, -122.44645302198062)"
"469","0 Block Of Woodward  Street","04/25/2019","Mission","(37.769071588573304, -122.42085763063936)"
"470","100 Block Of Dolores  Street","08/21/2017","Castro/Upper Market","(37.766667145044536, -122.4266634037781)"
"471","300 Block Of Orizaba  Avenue","12/17/2012","Oceanview/Merced/Ingleside","(37.715251628197834, -122.46261151945428)"
"472","0 Block Of Minerva  Street","01/28/2020","Oceanview/Merced/Ingleside","(37.71574484117511, -122.45479719282474)"
"473","200 Block Of Dolores  Street","12/18/2014","Castro/Upper Market","(37.76521095351148, -122.42652263038003)"
"474","400 Block Of Jones  Street","02/23/2018","Tenderloin","(37.78508734700004, -122.41282708385026)"
"475","700 Block Of Leavenworth  Street","02/20/2018","Nob Hill","(37.78792088667769, -122.41509034543711)"
"476","100 Block Of Grijalva  Drive","03/30/2020","Lakeshore","(37.715800328013984, -122.47973599741567)"
"477","800 Block Of Union  Street","09/19/2017","Russian Hill","(37.79992833999545, -122.41329554943458)"
"478","300 Block Of 11th  Avenue","09/09/2013","Inner Richmond","(37.78173532088874, -122.46969850892914)"
"479","1300 Block Of Cabrillo  Street","06/21/2022","Outer Richmond","(37.77495349422559, -122.4729987422041)"
"480","800 Block Of 14th  Street","09/15/2016","Castro/Upper Market","(37.76756184521529, -122.43174518113828)"
